Date,Temp
10/10/14,14.925
11/10/14,15.905
12/10/14,14.9
13/10/14,16.125
14/10/14,16.52333333
15/10/14,17.555
16/10/14,17.99333333
17/10/14,15.24833333
18/10/14,15.55333333
19/10/14,14.22833333
20/10/14,14.35166667
21/10/14,12.31666667
22/10/14,11.63166667
23/10/14,12.50166667
24/10/14,13.38333333
25/10/14,10.565
26/10/14,10.53833333
27/10/14,9.305
28/10/14,8.431666667
29/10/14,8.35
30/10/14,8.031666667
31/10/14,10.185
01/11/14,8.078333333
02/11/14,10.24666667
03/11/14,8.56
04/11/14,9.326666667
05/11/14,9.78
06/11/14,10.16
07/11/14,10.34666667
08/11/14,10.14833333
09/11/14,5.523333333
10/11/14,8.068333333
11/11/14,7.848333333
12/11/14,6.108333333
13/11/14,7.57
14/11/14,8.088333333
15/11/14,7.406666667
16/11/14,7.345
17/11/14,6.131666667
18/11/14,6.728333333
19/11/14,6.506666667
20/11/14,5.938333333
21/11/14,5.868333333
22/11/14,5.791666667
23/11/14,6.18
24/11/14,5.956666667
