Time,TER
0.0,0.44425303782281383
0.01,0.44424182432527465
0.02,0.44423059626613753
0.03,0.44421935363955595
0.04,0.4442080964396779
0.05,0.4441968246606461
0.06,0.4441855382965975
0.07,0.44417423734166395
0.08,0.4441629217899717
0.09,0.4441515916356414
0.1,0.44414024687278847
0.11,0.44412888749552276
0.12,0.4441175134979487
0.13,0.4441061248741652
0.14,0.44409472161826563
0.15,0.4440833037243381
0.16,0.444071871186465
0.17,0.4440604239987234
0.18,0.44404896215518486
0.19,0.44403748564991524
0.2,0.4440259944769752
0.21,0.4440144886304197
0.22,0.44400296810429835
0.23,0.4439914328926551
0.24,0.4439798829895284
0.25,0.4439683183889514
0.26,0.4439567390849514
0.27,0.4439451450715505
0.28,0.443933536342765
0.29,0.4439219128926058
0.3,0.44391027471507827
0.31,0.44389862180418227
0.32,0.44388695415391205
0.33,0.44387527175825636
0.34,0.44386357461119835
0.35,0.4438518627067156
0.36,0.44384013603878036
0.37,0.44382839460135903
0.38,0.4438166383884125
0.39,0.44380486739389624
0.4,0.44379308161176
0.41,0.44378128103594805
0.42,0.44376946566039904
0.43,0.443757635479046
0.44,0.44374579048581647
0.45,0.44373393067463235
0.46,0.4437220560394099
0.47,0.4437101665740598
0.48,0.4436982622724872
0.49,0.4436863431285917
0.5,0.443674409136267
0.51,0.44366246028940143
0.52,0.4436504965818777
0.53,0.44363851800757287
0.54,0.4436265245603583
0.55,0.4436145162340998
0.56,0.44360249302265753
0.57,0.44359045491988597
0.58,0.44357840191963405
0.59,0.44356633401574497
0.6,0.4435542512020563
0.61,0.44354215347240006
0.62,0.4435300408206025
0.63,0.4435179132404843
0.64,0.4435057707258604
0.65,0.4434936132705401
0.66,0.44348144086832697
0.67,0.4434692535130191
0.68,0.44345705119840867
0.69,0.4434448339182824
0.7,0.4434326016664211
0.71,0.4434203544366001
0.72,0.44340809222258887
0.73,0.44339581501815134
0.74,0.44338352281704557
0.75,0.44337121561302406
0.76,0.44335889339983353
0.77,0.443346556171215
0.78,0.44333420392090384
0.79,0.4433218366426296
0.8,0.44330945433011626
0.81,0.4432970569770818
0.82,0.44328464457723876
0.83,0.4432722171242938
0.84,0.44325977461194793
0.85,0.44324731703389636
0.86,0.44323484438382854
0.87,0.44322235665542814
0.88,0.4432098538423732
0.89,0.44319733593833593
0.9,0.4431848029369827
0.91,0.44317225483197437
0.92,0.4431596916169657
0.93,0.443147113285606
0.94,0.4431345198315386
0.95,0.4431219112484011
0.96,0.4431092875298253
0.97,0.44309664866943727
0.98,0.44308399466085724
0.99,0.4430713254976997
1.0,0.44305864117357324
1.01,0.44304594168208083
1.02,0.44303322701681946
1.03,0.44302049717138037
1.04,0.44300775213934906
1.05,0.4429949919143051
1.06,0.4429822164898224
1.07,0.4429694258594688
1.08,0.4429566200168066
1.09,0.44294379895539204
1.1,0.4429309626687756
1.11,0.4429181111505019
1.12,0.4429052443941099
1.13,0.44289236239313245
1.14,0.4428794651410967
1.15,0.4428665526315239
1.16,0.44285362485792956
1.17,0.44284068181382313
1.18,0.4428277234927082
1.19,0.4428147498880828
1.2,0.4428017609934387
1.21,0.4427887568022621
1.22,0.44277573730803316
1.23,0.4427627025042261
1.24,0.4427496523843094
1.25,0.44273658694174567
1.26,0.44272350616999145
1.27,0.4427104100624975
1.28,0.4426972986127087
1.29,0.4426841718140639
1.3,0.44267102965999616
1.31,0.4426578721439326
1.32,0.4426446992592944
1.33,0.4426315109994968
1.34,0.44261830735794927
1.35,0.4426050883280552
1.36,0.442591853903212
1.37,0.4425786040768112
1.38,0.44256533884223853
1.39,0.44255205819287363
1.4,0.4425387621220902
1.41,0.4425254506232561
1.42,0.44251212368973303
1.43,0.44249878131487685
1.44,0.4424854234920376
1.45,0.4424720502145591
1.46,0.4424586614757793
1.47,0.4424452572690303
1.48,0.44243183758763804
1.49,0.4424184024249226
1.5,0.44240495177419803
1.51,0.44239148562877234
1.52,0.44237800398194765
1.53,0.44236450682702
1.54,0.4423509941572796
1.55,0.4423374659660103
1.56,0.44232392224649036
1.57,0.4423103629919918
1.58,0.44229678819578055
1.59,0.4422831978511168
1.6,0.4422695919512545
1.61,0.44225597048944154
1.62,0.44224233345892
1.63,0.44222868085292577
1.64,0.44221501266468866
1.65,0.4422013288874326
1.66,0.4421876295143753
1.67,0.44217391453872856
1.68,0.44216018395369816
1.69,0.44214643775248363
1.7,0.44213267592827854
1.71,0.44211889847427044
1.72,0.4421051053836408
1.73,0.442091296649565
1.74,0.4420774722652123
1.75,0.4420636322237461
1.76,0.44204977651832345
1.77,0.4420359051420953
1.78,0.44202201808820674
1.79,0.44200811534979667
1.8,0.4419941969199978
1.81,0.44198026279193686
1.82,0.44196631295873445
1.83,0.441952347413505
1.84,0.4419383661493569
1.85,0.4419243691593924
1.86,0.4419103564367076
1.87,0.4418963279743926
1.88,0.44188228376553124
1.89,0.4418682238032012
1.9,0.44185414808047413
1.91,0.4418400565904156
1.92,0.4418259493260848
1.93,0.441811826280535
1.94,0.44179768744681325
1.95,0.4417835328179604
1.96,0.44176936238701126
1.97,0.44175517614699433
1.98,0.4417409740909321
1.99,0.44172675621184077
2.0,0.44171252250273035
2.01,0.4416982729566048
2.02,0.44168400756646187
2.03,0.441669726325293
2.04,0.4416554292260836
2.05,0.44164111626181285
2.06,0.4416267874254537
2.07,0.4416124427099729
2.08,0.44159808210833107
2.09,0.4415837056134826
2.1,0.44156931321837556
2.11,0.44155490491595195
2.12,0.4415404806991475
2.13,0.4415260405608916
2.14,0.4415115844941077
2.15,0.4414971124917128
2.16,0.44148262454661774
2.17,0.44146812065172714
2.18,0.4414536007999392
2.19,0.4414390649841462
2.2,0.44142451319723397
2.21,0.4414099454320821
2.22,0.441395361681564
2.23,0.4413807619385468
2.24,0.4413661461958913
2.25,0.44135151444645204
2.26,0.4413368666830774
2.27,0.44132220289860946
2.28,0.4413075230858839
2.29,0.4412928272377302
2.3,0.44127811534697176
2.31,0.44126338740642534
2.32,0.4412486434089016
2.33,0.44123388334720487
2.34,0.4412191072141332
2.35,0.44120431500247836
2.36,0.44118950670502577
2.37,0.44117468231455453
2.38,0.4411598418238375
2.39,0.4411449852256412
2.4,0.44113011251272577
2.41,0.44111522367784506
2.42,0.44110031871374655
2.43,0.44108539761317156
2.44,0.4410704603688549
2.45,0.4410555069735251
2.46,0.44104053741990434
2.47,0.44102555170070845
2.48,0.4410105498086469
2.49,0.44099553173642286
2.5,0.4409804974767331
2.51,0.4409654470222681
2.52,0.4409503803657118
2.53,0.44093529749974203
2.54,0.44092019841703
2.55,0.44090508311024074
2.56,0.44088995157203276
2.57,0.4408748037950583
2.58,0.4408596397719631
2.59,0.44084445949538653
2.6,0.4408292629579617
2.61,0.4408140501523152
2.62,0.4407988210710672
2.63,0.44078357570683163
2.64,0.4407683140522158
2.65,0.44075303609982064
2.66,0.44073774184224085
2.67,0.44072243127206456
2.68,0.4407071043818735
2.69,0.44069176116424297
2.7,0.4406764016117419
2.71,0.44066102571693266
2.72,0.44064563347237135
2.73,0.44063022487060743
2.74,0.44061479990418406
2.75,0.440599358565638
2.76,0.4405839008474994
2.77,0.440568426742292
2.78,0.44055293624253317
2.79,0.44053742934073375
2.8,0.44052190602939817
2.81,0.4405063663010243
2.82,0.44049081014810354
2.83,0.4404752375631209
2.84,0.4404596485385548
2.85,0.4404440430668773
2.86,0.4404284211405539
2.87,0.44041278275204365
2.88,0.440397127893799
2.89,0.440381456558266
2.9,0.44036576873788413
2.91,0.44035006442508645
2.92,0.44033434361229945
2.93,0.4403186062919431
2.94,0.4403028524564309
2.95,0.4402870820981698
2.96,0.4402712952095602
2.97,0.440255491782996
2.98,0.44023967181086454
2.99,0.4402238352855467
3.0,0.44020798219941676
3.01,0.4401921125448424
3.02,0.44017622631418496
3.03,0.44016032349979894
3.04,0.4401444040940326
3.05,0.4401284680892274
3.06,0.4401125154777183
3.07,0.4400965462518337
3.08,0.4400805604038955
