Time,SER
0.0,0.4406
30.0,0.2928
60.0,0.0067
90.0,0.0
120.0,0.0
150.0,0.0
180.0,0.0
210.0,0.0002
240.0,0.0108
270.0,0.1297
300.0,0.3155
330.0,0.4339
360.0,0.4406
390.0,0.2928
420.0,0.0067
450.0,0.0
480.0,0.0
510.0,0.0
540.0,0.0
570.0,0.0002
600.0,0.0108
630.0,0.1297
660.0,0.3155
690.0,0.4339
720.0,0.4406
750.0,0.2928
780.0,0.0067
810.0,0.0
840.0,0.0
870.0,0.0
900.0,0.0
930.0,0.0002
960.0,0.0108
990.0,0.1297
1020.0,0.3155
1050.0,0.4339
1080.0,0.4406
